,precio_m2,superficie_total,categoria,dormitorios,baños,cocheras,colonia,alcaldia,lat,lng
119,93125.0,160.0,departamento,2.0,2.0,2.0, Polanco, Miguel Hidalgo,19.4340199,-99.1956012
120,78358.20895522388,134.0,departamento,3.0,3.0,2.0, Ampliación Granada, Miguel Hidalgo,19.4418831,-99.1995669
121,71250.0,80.0,departamento,1.0,1.0,1.0, Ampliación Granada, Miguel Hidalgo,19.443103,-99.2024743
122,61111.11111111111,360.0,departamento,4.0,3.0,2.0, Barrio Santa Catarina, Coyoacán,19.3475023,-99.1719095
123,47500.0,240.0,departamento,2.0,2.0,2.0, Bosques de las Lomas, Cuajimalpa de Morelos,19.3855147,-99.2533303
124,7401.315789473684,152.0,departamento,3.0,3.0,2.0, Polanco, Miguel Hidalgo,19.4309002042,-99.1888509
125,71428.57142857143,133.0,departamento,3.0,2.0,2.0, Ampliación Granada, Miguel Hidalgo,19.4423928,-99.20240939999996
126,36000.0,125.0,departamento,3.0,2.0,2.0, Jesús del Monte, Cuajimalpa de Morelos,19.3699108,-99.2986764
127,54006.96864111498,287.0,departamento,3.0,3.0,3.0, Lomas de Chapultepec, Miguel Hidalgo,19.4235238,-99.2245629
128,30000.0,530.0,departamento,3.0,3.0,4.0, Bosques de las Lomas, Cuajimalpa de Morelos,19.3636193439,-99.278604219
129,52649.00662251656,151.0,departamento,3.0,2.0,2.0, Bosques de las Lomas, Cuajimalpa de Morelos,19.3951877,-99.2597677
130,27544.91017964072,167.0,departamento,3.0,2.0,2.0, Del Valle Centro, Benito Juárez,19.3797151,-99.1677132
131,20299.1452991453,1872.0,departamento,4.0,3.0,10.0, Rancho San Francisco, San Bartolo Ameyalco,19.3360421,-99.2595795
132,42857.142857142855,420.0,departamento,3.0,3.0,4.0, Bosques de las Lomas, Cuajimalpa de Morelos,19.3966893,-99.2567285
133,50641.02564102564,78.0,departamento,2.0,2.0,1.0, Jardines de Coyoacán, Coyoacán,19.3153145,-99.1289216
134,45294.117647058825,680.0,departamento,3.0,3.0,3.0, Santa Fe La Loma, Alvaro Obregón,19.3650997,-99.2532684
135,78571.42857142857,70.0,departamento,1.0,1.0,1.0, Ampliación Granada, Miguel Hidalgo,19.44173998866433,-99.20454208360592
136,47500.0,240.0,departamento,2.0,2.0,2.0, Bosques de las Lomas, Cuajimalpa de Morelos,19.3855147,-99.2533303
137,60000.0,105.0,departamento,2.0,2.0,2.0, Santa Fe Cuajimalpa, Cuajimalpa de Morelos,19.3800991,-99.2506794
138,44245.28301886792,106.0,departamento,3.0,2.0,1.0, Granada, Miguel Hidalgo,19.442461,-99.1838485
