,precio_m2,superficie_total,categoria,dormitorios,baños,cocheras,colonia,alcaldia,lat,lng
80,76546.875,64.0,departamento,1.0,1.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
81,56192.170818505336,281.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4350638,-99.1957554
82,5263.1578947368425,171.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4331242,-99.2005531
83,7333.333333333333,750.0,departamento,4.0,4.0,6.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.43393567496512,-99.19305302205966
84,100000.0,138.0,departamento,2.0,1.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.436903271489165,-99.19384996560667
85,84319.52662721893,169.0,departamento,2.0,4.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4348433,-99.1915107
86,76546.875,64.0,departamento,1.0,1.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
87,85714.28571428571,175.0,departamento,2.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.43498269039941,-99.1967587354431
88,7142.857142857143,350.0,departamento,4.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4318149,-99.1940586
89,60885.60885608856,542.0,departamento,4.0,4.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.434735663479568,-99.19174786931153
90,94117.64705882352,170.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
91,59626.66666666666,150.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4376353,-99.1913978
92,72941.17647058824,85.0,departamento,2.0,1.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4317135,-99.1911791
93,4969.69696969697,165.0,departamento,3.0,2.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4374069,-99.1949889
94,4719.76401179941,339.0,departamento,3.0,4.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4367477,-99.1953647
95,5000.0,450.0,departamento,4.0,5.0,4.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4326705,-99.1949618
96,5000.0,220.0,departamento,2.0,2.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.434997,-99.194089
97,74786.32478632478,234.0,departamento,2.0,4.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4360469,-99.1922883
98,83636.36363636363,165.0,departamento,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4345835292,-99.198153019
99,5312.5,320.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
100,106481.48148148147,216.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
101,77709.63742690059,342.0,departamento,3.0,4.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4373475,-99.1965392
102,96354.16666666669,192.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
103,7333.333333333333,750.0,departamento,4.0,4.0,6.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.43393567496512,-99.19305302205966
104,102926.524,250.0,departamento,2.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.436909,-99.1965969
105,104807.69230769233,208.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
106,59090.90909090909,110.0,departamento,1.0,1.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
107,6701.030927835051,194.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4331242,-99.2005531
108,84319.52662721893,169.0,departamento,2.0,4.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4348433,-99.1915107
109,98445.59585492229,193.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
110,97500.0,150.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4358798,-99.1999821
111,96153.84615384616,156.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4332601,-99.1990898
112,106451.6129032258,62.0,departamento,2.0,2.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
113,89361.70212765958,235.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.434680358431343,-99.19822116931152
114,83636.36363636363,165.0,departamento,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4345835292,-99.198153019
115,83068.78306878307,189.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
116,98445.59585492229,193.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
117,7068.062827225131,191.0,departamento,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4346174,-99.2005766
118,169708.0291970803,274.0,departamento,3.0,2.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4332413,-99.1988289
119,4719.76401179941,339.0,departamento,3.0,4.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4367477,-99.1953647
120,5263.1578947368425,171.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4331242,-99.2005531
121,101851.85185185184,216.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
122,68695.65217391304,230.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4336536,-99.1940894
123,94900.62790697676,172.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
124,83390.4109589041,146.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4360517,-99.192346
125,96354.16666666669,192.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
126,150000.0,110.0,casa,4.0,2.0,0.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
127,163755.45851528386,916.0,casa,,,,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
128,140000.0,50.0,casa,3.0,4.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4349275,-99.196467
129,7433.006976744186,430.0,casa,4.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
130,3366.2280701754385,456.0,casa,4.0,3.0,4.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
131,3214.890186915888,428.0,casa,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
132,4119.762365591398,465.0,casa,5.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.43698,-99.19642
133,8991.065759637188,441.0,casa,4.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
134,8521.897810218978,274.0,casa,3.0,2.0,0.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4332413,-99.1988289
