,Unnamed: 0,precio_m2,superficie_total,categoria,dormitorios,baños,cocheras,colonia,alcaldia,lat,lng
1091,1091,50781.25,256.0,departamento,3.0,2.0,2.0,LOMAS DE BARRILACO (LOMAS DE CHAPULTEPEC),MIGUEL HIDALGO,19.4243115,-99.2243912
8138,8138,50000.0,125.0,departamento,3.0,2.0,2.0,VILLA COYOACAN,COYOACAN,19.34686,-99.16079
3682,3682,65288.46153846154,104.0,departamento,3.0,2.0,2.0,ROMA SUR II,CUAUHTEMOC,19.4029284,-99.16806
6396,6396,9292.84971098266,173.0,casa,3.0,2.0,2.0,GRANJAS MODERNAS-SAN JUAN DE ARAGON (AMPL),GUSTAVO A. MADERO,19.47997,-99.10075
6527,6527,36684.782608695656,92.0,departamento,3.0,2.0,2.0,TEPEYAC INSURGENTES,GUSTAVO A. MADERO,19.4877117,-99.1180545
4627,4627,47058.82352941176,170.0,departamento,3.0,2.0,2.0,DEL VALLE IV,BENITO JUAREZ,19.3806276,-99.1665428
9218,9218,26071.42857142857,140.0,departamento,3.0,2.0,2.0,INDUSTRIAL II,GUSTAVO A. MADERO,19.47315,-99.13078
6332,6332,50423.72881355932,118.0,departamento,3.0,2.0,2.0,ROMA NORTE II,CUAUHTEMOC,19.4193145,-99.1563827
4602,4602,47058.82352941176,170.0,departamento,3.0,2.0,2.0,DEL VALLE IV,BENITO JUAREZ,19.3806276,-99.1665428
912,912,26066.666666666668,150.0,casa,3.0,2.0,2.0,OLIVAR DE LOS PADRES,ALVARO OBREGON,19.33711,-99.23463
6529,6529,36684.782608695656,92.0,departamento,3.0,2.0,2.0,TEPEYAC INSURGENTES,GUSTAVO A. MADERO,19.4877117,-99.1180545
5458,5458,41319.444444444445,144.0,departamento,3.0,2.0,2.0,EL YAQUI,CUAJIMALPA DE MORELOS,19.3626454,-99.2827076
6480,6480,36063.82978723404,94.0,departamento,3.0,2.0,2.0,ARENAL PUERTA TEPEPAN,TLALPAN,19.282943564896,-99.146762041421
5462,5462,41319.444444444445,144.0,departamento,3.0,2.0,2.0,EL YAQUI,CUAJIMALPA DE MORELOS,19.3626454,-99.2827076
5620,5620,65354.330708661415,127.0,casa,3.0,2.0,2.0,LETRAN VALLE,BENITO JUAREZ,19.37703,-99.15648
3262,3262,65046.72897196261,107.0,departamento,3.0,2.0,2.0,ANAHUAC II,MIGUEL HIDALGO,19.438495,-99.178186
4695,4695,25923.91304347826,92.0,departamento,3.0,2.0,2.0,NARVARTE I,BENITO JUAREZ,19.39975,-99.1494
5378,5378,12282.958199356914,311.0,casa,3.0,2.0,2.0,VALLEJO PONIENTE,GUSTAVO A. MADERO,19.46718,-99.14211
3014,3014,61459.45945945946,185.0,departamento,3.0,2.0,2.0,DEL VALLE III,BENITO JUAREZ,19.3896717,-99.1665194
8659,8659,59999.98888888889,90.0,departamento,2.0,2.0,2.0,GUERRERO III,CUAUHTEMOC,19.44279,-99.14413
5733,5733,0.0175438596491228,57.0,departamento,1.0,1.0,2.0,ROMA NORTE I,CUAUHTEMOC,19.4197707922,-99.172167778
4084,4084,52229.299363057326,157.0,departamento,3.0,3.0,2.0,DEL VALLE II,BENITO JUAREZ,19.3911606,-99.1692061
7427,7427,30000.0,180.0,departamento,3.0,3.0,2.0,MODERNA,BENITO JUAREZ,19.39747425498852,-99.1359810765624
6261,6261,46000.0,150.0,casa,4.0,3.0,2.0,PRESIDENTES EJIDALES PRIMERA SECCION,COYOACAN,19.32715,-99.1288
6825,6825,10590.90909090909,440.0,casa,4.0,3.0,2.0,LINDAVISTA I,GUSTAVO A. MADERO,19.48776,-99.1347
5933,5933,46758.104738154616,401.0,departamento,3.0,3.0,2.0,CHIMALISTAC,ALVARO OBREGON,19.3438343,-99.1878088
4505,4505,48636.36363636364,110.0,departamento,3.0,3.0,2.0,ESCANDON II,MIGUEL HIDALGO,19.4001659,-99.1731855
7429,7429,30000.0,180.0,departamento,3.0,3.0,2.0,MODERNA,BENITO JUAREZ,19.39747425498852,-99.1359810765624
3601,3601,61111.11111111111,360.0,departamento,4.0,3.0,2.0,SANTA CATARINA (BARR),COYOACAN,19.3475023,-99.1719095
954,954,46633.333333333336,300.0,departamento,3.0,3.0,2.0,TLACOPAC,ALVARO OBREGON,19.3529057,-99.1961354
1898,1898,31111.11111111111,450.0,casa,4.0,3.0,2.0,JARDINES DEL PEDREGAL,ALVARO OBREGON,19.32237,-99.20628
8877,8877,15641.02564102564,78.0,casa,4.0,3.0,2.0,DANIEL GARZA,MIGUEL HIDALGO,19.40591,-99.19923
1293,1293,38286.71328671329,286.0,departamento,3.0,3.0,2.0,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.3805364,-99.2653388
5023,5023,33993.055555555555,144.0,departamento,3.0,3.0,2.0,PORTALES III,BENITO JUAREZ,19.364354,-99.151164
956,956,46633.333333333336,300.0,departamento,3.0,3.0,2.0,TLACOPAC,ALVARO OBREGON,19.3529057,-99.1961354
7787,7787,46859.06040268456,149.0,casa,4.0,3.0,2.0,JARDIN BALBUENA III,VENUSTIANO CARRANZA,19.41617,-99.10743
1294,1294,38286.71328671329,286.0,departamento,3.0,3.0,2.0,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.3805364,-99.2653388
5927,5927,46758.104738154616,401.0,departamento,3.0,3.0,2.0,CHIMALISTAC,ALVARO OBREGON,19.3438343,-99.1878088
9293,9293,35483.87096774193,155.0,departamento,3.0,3.0,2.0,CENTRO III,CUAUHTEMOC,19.435839,-99.131821
3578,3578,31081.08108108108,222.0,departamento,4.0,3.0,2.0,BOSQUES DE TARANGO,ALVARO OBREGON,19.3527667,-99.2458406
8098,8098,15432.098765432098,162.0,casa,4.0,3.0,2.0,COLINAS DEL SUR,ALVARO OBREGON,19.36876,-99.22586
8971,8971,15532.1925170068,147.0,casa,4.0,3.0,2.0,LA ESMERALDA (U HAB),GUSTAVO A. MADERO,19.48977,-99.08432
1371,1371,38265.30612244898,392.0,departamento,3.0,3.0,2.0,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.3863621,-99.2553331
8000,8000,17192.98245614035,285.0,casa,4.0,3.0,2.0,PEDREGAL DE LAS AGUILAS,TLALPAN,19.2717984,-99.1741961
6503,6503,48982.03592814371,167.0,departamento,3.0,3.0,2.0,LAS TINAJAS,CUAJIMALPA DE MORELOS,19.35719,-99.28222
8232,8232,28620.689655172413,174.0,departamento,4.0,3.0,2.0,SANTA ISABEL TOLA (PBLO),GUSTAVO A. MADERO,19.4924975,-99.1171786
3396,3396,35443.037974683546,158.0,casa,3.0,3.0,2.0,LINDAVISTA II,GUSTAVO A. MADERO,19.4996748,-99.1266676
8509,8509,17722.222222222223,180.0,casa,4.0,3.0,2.0,LA NUEVA ROSITA,IZTAPALAPA,19.3769397,-99.1063632
6971,6971,11258.823529411764,85.0,casa,3.0,3.0,2.0,CTM IXA CULHUACAN (U HAB),COYOACAN,19.31175,-99.10761
8105,8105,17091.666666666668,360.0,casa,4.0,3.0,2.0,COLINAS DEL SUR,ALVARO OBREGON,19.36876,-99.22586
2095,2095,47511.31221719457,221.0,departamento,4.0,3.0,2.0,SAN ANGEL,ALVARO OBREGON,19.3422961,-99.1978389
5926,5926,46758.104738154616,401.0,departamento,3.0,3.0,2.0,CHIMALISTAC,ALVARO OBREGON,19.3438343,-99.1878088
7241,7241,32312.92517006803,294.0,casa,3.0,3.0,2.0,LOMAS DE LAS AGUILAS,ALVARO OBREGON,19.3440701,-99.2348013
6804,6804,12721.244444444445,180.0,casa,4.0,2.0,2.0,LINDAVISTA I,GUSTAVO A. MADERO,19.48776,-99.1347
2629,2629,33673.4693877551,147.0,casa,3.0,3.0,2.0,TIZAPAN_TIZAPAN SAN ANGEL,ALVARO OBREGON,19.33658,-99.19955
4177,4177,47580.645161290326,248.0,casa,3.0,3.0,2.0,EL CONTADERO,CUAJIMALPA DE MORELOS,19.3459406,-99.2990872
7486,7486,46496.80620155039,129.0,departamento,3.0,3.0,2.0,CRUZ BLANCA,CUAJIMALPA DE MORELOS,19.3210192,-99.3202414
8433,8433,29411.758823529413,170.0,departamento,3.0,3.0,2.0,JUSTO SIERRA,IZTAPALAPA,19.3653,-99.136
7830,7830,28000.0,150.0,casa,3.0,3.0,2.0,AHUATENCO,CUAJIMALPA DE MORELOS,19.3641631,-99.299695
1136,1136,49011.85770750988,253.0,departamento,3.0,3.0,2.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3958337,-99.2651762
6735,6735,29411.758823529413,170.0,departamento,3.0,3.0,2.0,GENERAL PEDRO MARIA ANAYA,BENITO JUAREZ,19.3586844,-99.1544652
4951,4951,33980.58252427184,206.0,departamento,3.0,3.0,2.0,ALPES,ALVARO OBREGON,19.3622336,-99.195984
1318,1318,34653.46534653466,303.0,departamento,3.0,3.0,2.0,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.3881467,-99.2569465
7424,7424,52500.0,80.0,casa,4.0,3.0,2.0,GRANJAS COAPA,TLALPAN,19.2997874,-99.1135797
4936,4936,38611.11111111111,180.0,departamento,3.0,3.0,2.0,TETELPAN (PBLO),ALVARO OBREGON,19.3423698,-99.2259887
1585,1585,35738.831615120274,291.0,casa,4.0,3.0,2.0,SAN JERONIMO ACULCO - LIDICE (PBLO),LA MAGDALENA CONTRERAS,19.324453391,-99.2231074936
7586,7586,37916.66666666666,360.0,casa,4.0,3.0,2.0,VILLA VERDUN,ALVARO OBREGON,19.338469,-99.2536399
8205,8205,41317.36526946108,167.0,casa,3.0,3.0,2.0,PEDREGAL DE SAN FRANCISCO (FRACC),COYOACAN,19.33929,-99.17077
4606,4606,33689.83957219251,187.0,departamento,3.0,3.0,2.0,DEL VALLE IV,BENITO JUAREZ,19.38389995,-99.1677339
8788,8788,37634.408602150535,186.0,casa,4.0,3.0,2.0,ARBOLEDAS DEL SUR,TLALPAN,19.2893054,-99.1363203
4491,4491,29166.666666666668,240.0,casa,3.0,3.0,2.0,TETELPAN,ALVARO OBREGON,19.34179,-99.23219
5482,5482,41463.41463414634,164.0,departamento,3.0,3.0,2.0,EL YAQUI,CUAJIMALPA DE MORELOS,19.3625834,-99.2830047
4572,4572,43577.98165137615,218.0,departamento,3.0,3.0,2.0,DEL VALLE IV,BENITO JUAREZ,19.383798,-99.1664334
4103,4103,43604.651162790695,172.0,departamento,3.0,3.0,2.0,DEL VALLE II,BENITO JUAREZ,19.3912845,-99.1664497
2195,2195,38548.3870967742,310.0,departamento,3.0,3.0,2.0,DEL VALLE VI,BENITO JUAREZ,19.37100773869784,-99.16567436396258
3104,3104,43624.161073825504,149.0,departamento,3.0,3.0,2.0,DEL VALLE III,BENITO JUAREZ,19.389164,-99.167668
1193,1193,25870.0,200.0,casa,4.0,3.0,2.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.38774,-99.261
3492,3492,47333.333333333336,150.0,departamento,3.0,3.0,2.0,PASEO DE LAS LOMAS-SAN GABRIEL,ALVARO OBREGON,19.366118,-99.2683962
1599,1599,53017.24137931035,232.0,casa,4.0,3.0,2.0,SAN JERONIMO ACULCO - LIDICE (PBLO),LA MAGDALENA CONTRERAS,19.3293413,-99.2295122
3570,3570,37634.408602150535,186.0,casa,4.0,3.0,2.0,NUEVA ORIENTAL COAPA-EX HACIENDA COAPA,TLALPAN,19.30162,-99.12926
2911,2911,38485.804416403786,317.0,casa,3.0,3.0,2.0,SAN BARTOLO AMEYALCO (PBLO),ALVARO OBREGON,19.329259,-99.270242
2208,2208,38548.3870967742,310.0,casa,3.0,3.0,2.0,DEL VALLE VI,BENITO JUAREZ,19.37413,-99.16492
7232,7232,32312.92517006803,294.0,casa,3.0,3.0,2.0,LOMAS DE LAS AGUILAS,ALVARO OBREGON,19.34651,-99.23348
7998,7998,17192.98245614035,285.0,departamento,4.0,3.0,2.0,PEDREGAL DE LAS AGUILAS,TLALPAN,19.2718956,-99.1741474
1156,1156,63360.32388663968,247.0,departamento,3.0,3.0,2.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3933352,-99.2602401
6286,6286,27960.0,250.0,departamento,3.0,3.0,2.0,TLACOQUEMECATL DEL VALLE,BENITO JUAREZ,19.375366,-99.1769253
8115,8115,26413.793103448275,145.0,casa,3.0,3.0,2.0,COLINAS DEL SUR,ALVARO OBREGON,19.36876,-99.22586
7560,7560,44166.66666666666,180.0,departamento,3.0,3.0,2.0,VILLA VERDUN,ALVARO OBREGON,19.3429217,-99.2578506
7751,7751,9062.992125984252,127.0,casa,3.0,3.0,2.0,JARDIN BALBUENA I,VENUSTIANO CARRANZA,19.42722,-99.11026
7007,7007,31999.992,125.0,casa,3.0,3.0,2.0,HEROES DE PADIERNA II,TLALPAN,19.28415,-99.22308
6004,6004,62430.55555555556,144.0,departamento,4.0,3.0,2.0,ACACIAS,BENITO JUAREZ,19.3657987,-99.1756797
4642,4642,49264.705882352944,136.0,departamento,3.0,3.0,2.0,DEL VALLE IV,BENITO JUAREZ,19.3822944,-99.1666759
3987,3987,42393.93939393939,165.0,departamento,3.0,3.0,2.0,NAPOLES (AMPL),BENITO JUAREZ,19.3879882,-99.1767865
2840,2840,69767.44186046511,172.0,departamento,3.0,3.0,2.0,CORREDOR SANTA FE,CUAJIMALPA DE MORELOS,19.3568031,-99.2742706
2246,2246,63200.0,250.0,departamento,3.0,3.0,2.0,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4315155,-99.2099513
7425,7425,32035.211267605635,142.0,casa,3.0,3.0,2.0,GRANJAS COAPA,TLALPAN,19.29384,-99.11471
2271,2271,63200.0,250.0,departamento,3.0,3.0,2.0,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4315155,-99.2099513
588,588,62608.69565217391,230.0,departamento,3.0,3.0,2.0,MORALES SECCION ALAMEDA (POLANCO),MIGUEL HIDALGO,19.4345251,-99.2035482
5262,5262,26428.571428571428,140.0,casa,3.0,3.0,2.0,SAN PEDRO CUAJIMALPA (PBLO),CUAJIMALPA DE MORELOS,19.359749,-99.2947625
940,940,26627.21893491124,169.0,departamento,3.0,3.0,2.0,OLIVAR DE LOS PADRES,ALVARO OBREGON,19.3376,-99.22132
7823,7823,40458.01526717557,262.0,departamento,3.0,3.0,2.0,RESIDENCIAL EMPERADORES,BENITO JUAREZ,19.3672543,-99.1586343
1302,1302,38286.71328671329,286.0,departamento,3.0,3.0,2.0,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.3805364,-99.2653388
1951,1951,39850.0,200.0,departamento,3.0,3.0,2.0,JARDINES DEL PEDREGAL,ALVARO OBREGON,19.32237,-99.20628
3315,3315,63003.77049180328,122.0,departamento,3.0,3.0,2.0,ANAHUAC II,MIGUEL HIDALGO,19.438411,-99.17875
4116,4116,62682.66666666666,150.0,departamento,3.0,3.0,2.0,DEL VALLE II,BENITO JUAREZ,19.394904,-99.1689895
2520,2520,40540.54054054054,333.0,casa,3.0,3.0,2.0,LOMAS DE VISTA HERMOSA,CUAJIMALPA DE MORELOS,19.38209,-99.26728
4815,4815,26388.88888888889,288.0,departamento,3.0,3.0,2.0,NAPOLES,BENITO JUAREZ,19.39337,-99.17733
5550,5550,10171.73076923077,130.0,casa,3.0,3.0,2.0,NUEVA VALLEJO,GUSTAVO A. MADERO,19.485415,-99.148018
2163,2163,8873.720136518772,293.0,departamento,3.0,3.0,2.0,BOSQUES DE CHAPULTEPEC (POLANCO),MIGUEL HIDALGO,19.4296847,-99.1868297
4489,4489,30956.84803001876,533.0,casa,4.0,3.0,2.0,TETELPAN,ALVARO OBREGON,19.3390709,-99.2328071
2027,2027,8916.184971098266,173.0,casa,3.0,3.0,2.0,VERTIZ NARVARTE,BENITO JUAREZ,19.38366,-99.15
6740,6740,40434.77391304348,115.0,departamento,3.0,3.0,2.0,GENERAL PEDRO MARIA ANAYA,BENITO JUAREZ,19.3580577,-99.1551034
8237,8237,36029.41176470588,204.0,departamento,3.0,3.0,2.0,BELEN DE LAS FLORES_,ALVARO OBREGON,19.3548711703455,-99.23271831245222
8430,8430,40434.77391304348,115.0,departamento,3.0,3.0,2.0,JUSTO SIERRA,IZTAPALAPA,19.3653,-99.136
1448,1448,70000.0,600.0,casa,3.0,3.0,2.0,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.3872,-99.25807
6817,6817,42371.13402061856,97.0,casa,3.0,3.0,2.0,LINDAVISTA I,GUSTAVO A. MADERO,19.48776,-99.1347
2023,2023,7541.402912621359,206.0,casa,4.0,3.0,2.0,VERTIZ NARVARTE,BENITO JUAREZ,19.38366,-99.15
5163,5163,64285.71428571428,280.0,departamento,3.0,3.0,2.0,PALMITAS (POLANCO),MIGUEL HIDALGO,19.4321241,-99.2021867
2026,2026,7541.359223300971,206.0,casa,4.0,3.0,2.0,VERTIZ NARVARTE,BENITO JUAREZ,19.38366,-99.15
419,419,8811.188811188811,143.0,casa,3.0,3.0,2.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,19.39536,-99.24769
1306,1306,38286.71328671329,286.0,departamento,3.0,3.0,2.0,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.3805364,-99.2653388
7511,7511,28125.0,160.0,departamento,3.0,3.0,2.0,LA NORIA,XOCHIMILCO,19.2650579,-99.1228477
7815,7815,28017.241379310344,232.0,casa,3.0,3.0,2.0,MORELOS I,CUAUHTEMOC,19.4506,-99.12739
4242,4242,63333.333333333336,135.0,casa,3.0,3.0,2.0,SAN JOSE INSURGENTES,BENITO JUAREZ,19.368859,-99.1833077
8296,8296,35447.76119402985,134.0,departamento,3.0,3.0,2.0,VERGEL DE COYOACAN-VERGEL DEL SUR,TLALPAN,19.3056,-99.13709
4172,4172,49000.0,100.0,casa,3.0,3.0,2.0,EL CONTADERO,CUAJIMALPA DE MORELOS,19.348127401141,-99.302168709123
8846,8846,7671.656565656565,198.0,casa,4.0,3.0,2.0,TRES ESTRELLAS,GUSTAVO A. MADERO,19.47163,-99.11148
8405,8405,10633.620689655172,116.0,casa,3.0,3.0,2.0,JUSTO SIERRA,IZTAPALAPA,19.3653,-99.136
7709,7709,32000.0,500.0,casa,3.0,3.0,2.0,TIZAMPAMPANO,ALVARO OBREGON,19.34205,-99.22081
9056,9056,7812.4465,180.0,casa,4.0,3.0,2.0,C T M ARAGON AMPLIACION (U),GUSTAVO A. MADERO,19.45581,-99.05387
2137,2137,7401.315789473684,152.0,departamento,3.0,3.0,2.0,BOSQUES DE CHAPULTEPEC (POLANCO),MIGUEL HIDALGO,19.4309002042,-99.1888509
2423,2423,31818.18181818182,110.0,departamento,3.0,3.0,2.0,FUENTES DEL PEDREGAL,TLALPAN,19.30411,-99.22808
5603,5603,65354.330708661415,127.0,departamento,3.0,3.0,2.0,LETRAN VALLE,BENITO JUAREZ,19.3766306,-99.1522421
1665,1665,3631.390625,320.0,casa,3.0,3.0,2.0,SAN JERONIMO ACULCO - LIDICE (PBLO),LA MAGDALENA CONTRERAS,19.3198,-99.22602
5618,5618,65354.330708661415,127.0,departamento,3.0,3.0,2.0,LETRAN VALLE,BENITO JUAREZ,19.3766306,-99.1522421
3146,3146,31633.106777615445,157.43,departamento,3.0,3.0,2.0,DEL VALLE III,BENITO JUAREZ,19.388215999571,-99.167498831081
6011,6011,62430.55555555556,144.0,departamento,4.0,3.0,2.0,ACACIAS,BENITO JUAREZ,19.3657987,-99.1756797
478,478,65000.0,100.0,casa,3.0,3.0,2.0,PALO ALTO (GRANJAS),CUAJIMALPA DE MORELOS,19.3829,-99.25537
3159,3159,44466.43292829355,208.21,departamento,3.0,3.0,2.0,DEL VALLE III,BENITO JUAREZ,19.385778,-99.169687
8101,8101,26413.793103448275,145.0,casa,3.0,3.0,2.0,COLINAS DEL SUR,ALVARO OBREGON,19.36876,-99.22586
5247,5247,26428.571428571428,140.0,departamento,3.0,3.0,2.0,SAN PEDRO CUAJIMALPA (PBLO),CUAJIMALPA DE MORELOS,19.359749,-99.2947625
7561,7561,44166.66666666666,180.0,departamento,3.0,3.0,2.0,VILLA VERDUN,ALVARO OBREGON,19.3429217,-99.2578506
5439,5439,44100.85265722277,221.66,departamento,3.0,3.0,2.0,DEL VALLE I,BENITO JUAREZ,19.39662,-99.16479
2872,2872,31958.76288659794,291.0,departamento,3.0,3.0,2.0,CORREDOR SANTA FE,CUAJIMALPA DE MORELOS,19.3619875,-99.2662189
5481,5481,42378.04878048781,164.0,departamento,3.0,3.0,2.0,EL YAQUI,CUAJIMALPA DE MORELOS,19.3617203,-99.2834093
8618,8618,9473.372781065087,169.0,casa,3.0,3.0,2.0,JOSEFA ORTIZ DE DOMINGUEZ,BENITO JUAREZ,19.38757,-99.13897
8640,8640,41074.21008403361,119.0,departamento,3.0,3.0,2.0,VIEJO EJIDO SANTA URSULA COAPA,COYOACAN,19.3066704,-99.1381783
8773,8773,47826.086956521736,115.0,casa,3.0,3.0,2.0,ALGARIN,CUAUHTEMOC,19.40521,-99.14159
4580,4580,33689.83957219251,187.0,departamento,3.0,3.0,2.0,DEL VALLE IV,BENITO JUAREZ,19.38389995,-99.1677339
509,509,43636.36363636364,275.0,departamento,3.0,3.0,2.0,LOS MORALES (POLANCO),MIGUEL HIDALGO,19.4369101,-99.2101458
8375,8375,14212.5748502994,167.0,casa,4.0,3.0,2.0,JUSTO SIERRA,IZTAPALAPA,19.3653,-99.136
6801,6801,43793.10344827586,145.0,casa,3.0,3.0,2.0,LINDAVISTA I,GUSTAVO A. MADERO,19.48776,-99.1347
8555,8555,27596.153846153848,104.0,casa,4.0,3.0,2.0,SAN JUAN DE ARAGON 4A  Y 5A SECCION (U HAB) II,GUSTAVO A. MADERO,19.45325,-99.06463
2571,2571,36939.31398416887,379.0,casa,4.0,3.0,2.0,LOMAS DE VISTA HERMOSA,CUAJIMALPA DE MORELOS,19.38209,-99.26728
8376,8376,14124.413145539906,213.0,casa,4.0,3.0,2.0,JUSTO SIERRA,IZTAPALAPA,19.3653,-99.136
7761,7761,6302.325581395349,172.0,casa,4.0,3.0,2.0,JARDIN BALBUENA I,VENUSTIANO CARRANZA,19.42722,-99.11026
1642,1642,19806.25,160.0,casa,4.0,3.0,2.0,SAN JERONIMO ACULCO - LIDICE (PBLO),LA MAGDALENA CONTRERAS,19.32602,-99.22641
4992,4992,34722.22222222222,180.0,departamento,3.0,3.0,2.0,DEL VALLE VII,BENITO JUAREZ,19.3674607,-99.1705459
4707,4707,43831.168831168834,154.0,departamento,3.0,3.0,2.0,NARVARTE I,BENITO JUAREZ,19.3986913,-99.1590121
974,974,29910.714285714286,224.0,casa,4.0,3.0,2.0,TLACOPAC,ALVARO OBREGON,19.35339,-99.1971
2985,2985,43706.293706293705,143.0,departamento,3.0,3.0,2.0,DEL VALLE III,BENITO JUAREZ,19.3863786,-99.1696491
7781,7781,5238.095238095239,210.0,casa,4.0,3.0,2.0,JARDIN BALBUENA III,VENUSTIANO CARRANZA,19.41617,-99.10743
3106,3106,43706.293706293705,143.0,departamento,3.0,3.0,2.0,DEL VALLE III,BENITO JUAREZ,19.3863786,-99.1696491
1211,1211,43636.36363636364,110.0,departamento,3.0,3.0,2.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3868785,-99.2655625
7635,7635,6696.428571428572,224.0,casa,4.0,3.0,2.0,ESTRELLA,GUSTAVO A. MADERO,19.47492,-99.11652
7897,7897,47169.81132075472,212.0,departamento,4.0,3.0,2.0,REAL DEL SUR-VILLAS DEL SUR-RESIDENCIAL ACOXPA,TLALPAN,19.3006795,-99.1213397
553,553,58823.52941176471,340.0,casa,4.0,3.0,2.0,CONDESA,CUAUHTEMOC,19.4160332,-99.1781306
2261,2261,4166.666666666667,360.0,departamento,4.0,3.0,2.0,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4249374,-99.2134442
8616,8616,47179.48717948718,195.0,casa,4.0,3.0,2.0,PRADOS DE COYOACAN,COYOACAN,19.3226362,-99.1360593
623,623,42500.0,400.0,casa,3.0,3.0,2.0,JARDINES DE LA PALMA (HUIZACHITO),CUAJIMALPA DE MORELOS,19.3688488,-99.2821618
554,554,58823.52941176471,340.0,casa,4.0,3.0,2.0,CONDESA,CUAUHTEMOC,19.4160332,-99.1781306
3084,3084,5001.720472440945,254.0,casa,4.0,3.0,2.0,DEL VALLE III,BENITO JUAREZ,19.389164,-99.167668
8632,8632,6588.506787330317,221.0,casa,4.0,3.0,2.0,SAN JUAN DE ARAGON 2A SECCION (U HAB) II,GUSTAVO A. MADERO,19.45657,-99.08867
508,508,43636.36363636364,275.0,departamento,3.0,3.0,2.0,LOS MORALES (POLANCO),MIGUEL HIDALGO,19.4369101,-99.2101458
7791,7791,27839.67272727273,110.0,casa,4.0,3.0,2.0,JARDIN BALBUENA III,VENUSTIANO CARRANZA,19.41617,-99.10743
1173,1173,34746.3768115942,138.0,departamento,3.0,3.0,2.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3886456,-99.2601825
4153,4153,39428.57142857143,350.0,casa,3.0,3.0,2.0,EL CONTADERO,CUAJIMALPA DE MORELOS,19.3487237599,-99.2956352234
6159,6159,34868.42105263158,152.0,casa,3.0,3.0,2.0,LOMAS DE MEMETLA,CUAJIMALPA DE MORELOS,19.3534184,-99.2864314
8635,8635,2676.021798365123,367.0,casa,4.0,3.0,2.0,VIEJO EJIDO SANTA URSULA COAPA,COYOACAN,19.30419,-99.1431
8965,8965,14320.987654320988,162.0,casa,4.0,3.0,2.0,GUADALUPE PROLETARIA (AMPL),GUSTAVO A. MADERO,19.52254,-99.1512
8231,8231,3725.5,260.0,departamento,4.0,3.0,2.0,2A AMPLIACION SANTIAGO ACAHUALTEPEC I,IZTAPALAPA,19.3502422,-99.0116552
9047,9047,5833.333333333333,300.0,casa,4.0,3.0,2.0,ACUEDUCTO,ALVARO OBREGON,19.39979,-99.19989
3738,3738,50757.57575757576,132.0,departamento,3.0,3.0,2.0,HIPODROMO II,CUAUHTEMOC,19.4051226,-99.1738081
7268,7268,9294.757396449704,169.0,casa,4.0,3.0,2.0,NIOS HEROES DE CHAPULTEPEC,BENITO JUAREZ,19.38697,-99.14446
6820,6820,65072.46376811594,138.0,casa,4.0,3.0,2.0,LINDAVISTA I,GUSTAVO A. MADERO,19.49422,-99.13525
3377,3377,40116.27906976744,172.0,departamento,3.0,3.0,2.0,LAS CUEVITAS,ALVARO OBREGON,19.3863928,-99.2255625
2552,2552,8000.0,500.0,casa,4.0,3.0,2.0,LOMAS DE VISTA HERMOSA,CUAJIMALPA DE MORELOS,19.38209,-99.26728
4626,4626,50967.74193548387,155.0,departamento,3.0,3.0,2.0,DEL VALLE IV,BENITO JUAREZ,19.383948,-99.1639079
2568,2568,42953.02013422819,298.0,casa,3.0,3.0,2.0,LOMAS DE VISTA HERMOSA,CUAJIMALPA DE MORELOS,19.38209,-99.26728
7918,7918,25172.41379310345,145.0,departamento,3.0,3.0,2.0,JUVENTUD UNIDA,TLALPAN,19.26901445210008,-99.15200303599563
6186,6186,40000.0,170.0,departamento,3.0,3.0,2.0,LOMAS DE MEMETLA,CUAJIMALPA DE MORELOS,19.35787,-99.28651
8379,8379,9743.97590361446,166.0,casa,4.0,3.0,2.0,JUSTO SIERRA,IZTAPALAPA,19.3653,-99.136
7633,7633,51282.05128205128,78.0,casa,3.0,3.0,2.0,ESTRELLA,GUSTAVO A. MADERO,19.4740421,-99.1165633
8144,8144,42993.63057324841,314.0,casa,3.0,3.0,2.0,SAN JOSE DE LOS CEDROS II,CUAJIMALPA DE MORELOS,19.36966,-99.28911
