,Unnamed: 0,precio_m2,superficie_total,categoria,dormitorios,baños,cocheras,colonia,alcaldia,lat,lng
4211,4211,62222.22222222222,90.0,departamento,2.0,2.0,2.0,SAN JOSE INSURGENTES,BENITO JUAREZ,19.3622369,-99.1862756
8295,8295,47159.09090909091,88.0,departamento,2.0,2.0,2.0,VERGEL DE COYOACAN-VERGEL DEL SUR,TLALPAN,19.3056,-99.13709
2615,2615,49833.333333333336,120.0,departamento,2.0,2.0,2.0,TIZAPAN_TIZAPAN SAN ANGEL,ALVARO OBREGON,19.3398401,-99.1984497
2610,2610,49833.333333333336,120.0,departamento,2.0,2.0,2.0,TIZAPAN_TIZAPAN SAN ANGEL,ALVARO OBREGON,19.3398401,-99.1984497
4829,4829,49900.0,100.0,departamento,2.0,2.0,2.0,NAPOLES,BENITO JUAREZ,19.39337,-99.17733
4222,4222,62222.22222222222,90.0,departamento,2.0,2.0,2.0,SAN JOSE INSURGENTES,BENITO JUAREZ,19.3622369,-99.1862756
5613,5613,49934.21052631579,76.0,departamento,2.0,2.0,2.0,LETRAN VALLE,BENITO JUAREZ,19.3751089,-99.160028
5409,5409,49934.21052631579,76.0,departamento,2.0,2.0,2.0,DEL VALLE I,BENITO JUAREZ,19.3984919,-99.1629799
4218,4218,62222.22222222222,90.0,departamento,2.0,2.0,2.0,SAN JOSE INSURGENTES,BENITO JUAREZ,19.3622369,-99.1862756
4925,4925,47115.38461538462,104.0,departamento,2.0,2.0,2.0,LAS AGUILAS,ALVARO OBREGON,19.36008,-99.20555
4878,4878,47115.38461538462,104.0,departamento,2.0,2.0,2.0,LAS AGUILAS,ALVARO OBREGON,19.3600733,-99.2055672
5426,5426,82023.5294117647,85.0,departamento,2.0,2.0,2.0,DEL VALLE I,BENITO JUAREZ,19.395807,-99.163617
3452,3452,62073.17073170732,82.0,departamento,2.0,2.0,2.0,DEL VALLE V,BENITO JUAREZ,19.372188,-99.171916
6341,6341,47101.44927536232,276.0,departamento,2.0,2.0,2.0,ROMA NORTE II,CUAUHTEMOC,19.4195256,-99.162549
1262,1262,63829.78723404255,141.0,departamento,2.0,2.0,2.0,HIPODROMO I,CUAUHTEMOC,19.4143771,-99.17072
4359,4359,64666.66666666666,75.0,departamento,2.0,2.0,2.0,GRANADA,MIGUEL HIDALGO,19.4409983,-99.1946792
4350,4350,64666.66666666666,75.0,departamento,2.0,2.0,2.0,GRANADA,MIGUEL HIDALGO,19.4409983,-99.1946792
3635,3635,64667.9625,80.0,departamento,2.0,2.0,2.0,ANAHUAC LOS MANZANOS,MIGUEL HIDALGO,19.4424548,-99.1854261
3490,3490,64841.4481897628,80.1,departamento,2.0,2.0,2.0,PASEO DE LAS LOMAS-SAN GABRIEL,ALVARO OBREGON,19.379792,-99.252902
3206,3206,65357.142857142855,168.0,departamento,2.0,2.0,2.0,CHAPULTEPEC POLANCO (POLANCO),MIGUEL HIDALGO,19.4309694,-99.2016665
3124,3124,66666.65,60.0,departamento,2.0,2.0,2.0,DEL VALLE III,BENITO JUAREZ,19.389164,-99.167668
2850,2850,66141.73228346456,127.0,departamento,2.0,2.0,2.0,CORREDOR SANTA FE,CUAJIMALPA DE MORELOS,19.3619875,-99.2662189
753,753,67469.8795180723,83.0,departamento,2.0,2.0,2.0,GRANADA (AMPL),MIGUEL HIDALGO,19.44379909037846,-99.20253872963131
5615,5615,41592.9203539823,113.0,departamento,2.0,2.0,2.0,LETRAN VALLE,BENITO JUAREZ,19.3787203,-99.1582901
3664,3664,63750.0,120.0,departamento,2.0,2.0,2.0,ROMA SUR II,CUAUHTEMOC,19.40626,-99.16117
3870,3870,63727.98324022346,179.0,departamento,2.0,2.0,2.0,ROMA NORTE III,CUAUHTEMOC,19.4141843,-99.1597255
3869,3869,63727.98324022346,179.0,departamento,2.0,2.0,2.0,ROMA NORTE III,CUAUHTEMOC,19.4141843,-99.1597255
452,452,62500.0,192.0,departamento,2.0,2.0,2.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,19.4082058,-99.2391978
7649,7649,63850.54255319149,94.0,departamento,2.0,2.0,2.0,LA MARTINICA,ALVARO OBREGON,19.3605334,-99.2267067
3807,3807,62037.03703703704,108.0,departamento,2.0,2.0,2.0,HIPODROMO II,CUAUHTEMOC,19.4050083,-99.1739208
716,716,62000.0,100.0,departamento,2.0,2.0,2.0,GRANADA (AMPL),MIGUEL HIDALGO,19.44379909037846,-99.20253872963131
4357,4357,62000.0,75.0,departamento,2.0,2.0,2.0,GRANADA,MIGUEL HIDALGO,19.4409983,-99.1946792
3507,3507,63751.94594594595,74.0,departamento,2.0,2.0,2.0,PASEO DE LAS LOMAS-SAN GABRIEL,ALVARO OBREGON,19.376803,-99.258816
7650,7650,63850.54255319149,94.0,departamento,2.0,2.0,2.0,LA MARTINICA,ALVARO OBREGON,19.3605334,-99.2267067
236,236,62745.098039215685,153.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
3666,3666,62916.66666666666,120.0,departamento,2.0,2.0,2.0,ROMA SUR II,CUAUHTEMOC,19.4046152,-99.1662218
4007,4007,62844.036697247706,218.0,departamento,2.0,2.0,2.0,HIPODROMO CONDESA,CUAUHTEMOC,19.4107266,-99.1794036
746,746,63440.86021505376,93.0,departamento,2.0,2.0,2.0,GRANADA (AMPL),MIGUEL HIDALGO,19.4431346,-99.2007312
