,price,square_meters,bedrooms,bathrooms,parking_spaces,address,description,colony,latitude,longitude
856,1550000,0,2,1,1,MEXICO D.F.,"DEPARTAMENTO EN VENTA, AV. TAMAULIPAS, COL. SANTA LUCIA, ALVARO OBREGON.",SANTA LUCIA,19.3577370816,19.3577370816
857,6800000,93,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO GUADALQUIVIR 18, CIUDAD DE MEXICO, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
858,2695000,0,2,1,1,STA MARIA LA RIBERA,DEPARTAMENTO  SANTA MARIA LA RIBERA  ALCALDIA CUAUHTEMOC,CUAUHTEMOC,19.3200700913,19.3200700913
859,5750000,150,3,2,3,COAPA,CASA EN  CAMPESTRE  COYOACAN  CDMX,,,
860,1826880,56,2,1,1,BONDOJITO,"DEPARTAMENTO EN PREVENTA EN RESIDENCIAL CONGRESO, GAM, CDMX, 2 RECAMARAS",BONDOJITO,19.4669013795,19.4669013795
861,1884760,55,2,2,1,BONDOJITO,"DEPARTAMENTO EN PREVENTA EN RESIDENCIAL CONGRESO, GAM, CDMX, 2 RECAMARAS",BONDOJITO,19.4669013795,19.4669013795
862,1951280,59,2,2,1,BONDOJITO,"DEPARTAMENTO EN PREVENTA EN RESIDENCIAL CONGRESO, GAM, CDMX, 2 RECAMARAS",BONDOJITO,19.4669013795,19.4669013795
863,2015760,61,2,2,1,BONDOJITO,"DEPARTAMENTO EN PREVENTA EN RESIDENCIAL CONGRESO, GAM, CDMX, 2 RECAMARAS",BONDOJITO,19.4669013795,19.4669013795
864,2084860,64,2,2,1,BONDOJITO,"DEPARTAMENTO EN PREVENTA EN RESIDENCIAL CONGRESO, GAM, CDMX, 2 RECAMARAS",BONDOJITO,19.4669013795,19.4669013795
865,6900000,99,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO GUADALQUIVIR 18, CIUDAD DE MEXICO, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
866,6850000,99,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO GUADALQUIVIR 18, CIUDAD DE MEXICO, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
867,5100000,79,2,2,0,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO GUADALQUIVIR 18, CIUDAD DE MEXICO, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
868,5850000,91,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO GUADALQUIVIR 18, CIUDAD DE MEXICO, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
